out_action,D0,D1,D2,D3,D4,D5
2,455.0020209,-48.10176426,-0.118946917,-0.109431325,-0.277839758,0.041082556
4,2267.788533,-143.9366544,0.521648628,0.220289299,0.14462574,-0.028067833
6,1771.823355,-94.31183115,0.213842794,0.056045194,0.075795759,-0.028124111
5,1345.809358,-59.88251828,0.43251995,0.020118367,0.062846455,-0.026408038
10,897.1387846,-19.41029575,0.351489198,0.038079689,0.081481334,-0.027638226
10,233.7288423,3.123464019,-0.257898388,-0.011874808,0.26838996,0.011343149
10,2057.040554,71.51347972,1.041141078,0.076744795,0.017373727,0.024265126
16,1396.850941,103.1815041,0.245607067,-0.137118122,0.177712935,0.067918552
23,531.7563882,64.44320604,0.13746864,-0.130071793,-0.150953212,0.080681712
3,1902.634853,-146.2631173,0.504385468,0.202754312,0.173440827,-0.042025033
4,1343.331441,-81.52251062,-0.051441526,0.060231664,0.205317407,-0.04333503
3,845.7058887,-42.08154737,0.206902772,0.037919426,0.158126612,-0.041607962
17,283.7429625,15.4340001,-0.013734001,0.059261623,0.18376486,-0.042546918
10,1737.091769,4.793696491,-0.328681735,0.288187555,-0.026376433,-0.068664792
16,1076.902156,36.46172083,-1.124215746,0.074324638,0.133962776,-0.025011366
13,211.8076034,-2.276577197,-1.232354173,0.081370966,-0.194703372,-0.012248206
4,1723.33083,-166.0070884,0.334595701,0.191301235,0.007375354,0.009473856
3,1227.365652,-116.3822651,0.026789868,0.02705713,-0.061454627,0.009417578
3,667.825742,-59.73025964,-0.172673962,0.047527875,0.022377214,0.009195421
6,103.7501965,-6.68885413,-0.160445182,0.047189057,0.002613788,0.009436141
10,2150.078592,-26.61086619,0.128606456,0.184039858,0.058507053,-0.00202492
16,1491.478044,2.331293118,-0.667690743,-0.047666858,0.232767139,0.037172222
6,623.9231793,-44.34614755,-0.695191685,-0.04691738,-0.142156307,0.04043818
5,180.8272183,-15.54395922,-0.012559531,-0.010196413,-0.096733145,-0.004760588
4,1882.78253,-308.3290323,0.349537682,0.126415663,0.265320701,0.023516138
6,1386.817351,-258.704209,0.041731848,-0.037828442,0.19649072,0.02345986
7,960.803355,-224.2748962,0.260409004,-0.073755269,0.183541416,0.025175933
3,787.2245109,-42.36642602,-3.447527252,0.011496858,1.304447697,0.070317458
27,148.0090407,-3.810810636,0.08855615,-0.025464516,0.137157066,0.02871122
16,2033.097476,87.06052082,-0.008682964,0.178468828,0.455924219,-0.003537182
23,1175.493724,80.19414824,-0.922619889,-0.048323681,0.034232803,0.037672761
5,312.8906753,-4.748974005,-1.684382752,-0.063262143,0.011980217,0.0296519
2,2043.062597,-309.4211026,0.346763785,0.162877776,-0.080492065,0.00087204
1,1373.833837,-213.6691657,-0.33298182,0.040517283,-0.058508066,0.002632653
4,494.0237724,-26.25462999,-1.130788098,0.076663163,0.088190017,0.000447248
2,1796.08868,-291.884068,0.633384959,0.122577319,-0.170809368,-0.002498905
1,1126.85992,-196.132131,-0.046360646,0.000216827,-0.148825369,-0.000738291
2,247.0498555,-8.717595314,-0.844166924,0.036362706,-0.002127286,-0.002923697
3,1771.74224,-266.4773672,0.172890144,0.177476015,0.276202952,0.000712481
1,1212.187375,-202.0434758,-0.374062743,0.034690834,0.302927879,-0.000429332
5,332.3465417,-8.677778758,-1.315843778,0.091389852,0.44609352,0.00019776
4,1889.477927,-71.21225027,0.386051025,0.147613064,0.010507708,-0.002462398
16,1393.799491,-21.71473371,0.077866427,-0.016595077,-0.051792388,-0.002475298
3,536.8210676,-39.0835645,-0.619265405,-0.057650203,-0.289302393,0.052507282
1,1709.378367,-300.4744107,0.754796404,0.120534919,-0.018192283,-0.000577684
2,838.2438271,-80.89074805,-0.788150893,0.035159593,0.166669298,-0.001522675
2,154.3392554,-15.08680436,-0.13097126,0.002754952,0.060476342,-0.001920634
3,1714.521585,-13.88181185,0.226341032,0.235853631,0.344467137,-0.057794033
16,1154.966719,50.55207959,-0.320611855,0.09306845,0.371192064,-0.058935846
18,294.7297619,20.71196905,-0.765250562,0.029562374,0.105516021,-0.002433657
13,1804.994928,-435.3203159,0.13335637,0.182409278,-0.437980817,-0.000502357
14,1336.781609,-394.6499752,0.114147956,-0.094927531,-0.449985805,0.038475746
1,1204.464276,-255.2698124,-3.470334777,0.027278613,0.577781867,0.063585737
6,198.9751173,4.077565078,-1.360542813,0.095748196,-0.358891279,-0.000978751
18,1957.12917,168.9772353,1.428775853,-0.022978658,0.215958286,0.045839615
23,1366.656991,201.2105869,-0.074410312,-0.308719421,0.014253891,0.07229337
23,511.92228,75.23774028,-0.015062933,-0.26418901,0.056178698,0.079802417
20,1830.997689,-419.4096494,0.141976978,0.183175982,-0.248346208,-0.001788536
7,1355.271338,-395.9127578,0.258377688,-0.102669635,-0.260146842,0.067656618
1,1233.31138,-254.5114073,-3.220104219,0.038293431,0.759891891,0.055546857
5,232.3086476,3.113819545,-1.360360061,0.096663504,-0.162603332,-0.00231996
9,2083.952668,61.87952442,0.739293423,0.235592451,0.53275963,-0.024114848
16,1253.561059,107.8208042,-0.229192017,0.021601876,0.311045655,0.019737297
24,405.0510324,61.18143907,-0.557306133,0.000642631,0.302807356,0.017997074
13,1742.403877,-444.1298436,0.895228156,0.161182116,-0.363925958,0.022008225
21,1273.983218,-400.6978138,0.79169894,-0.094529354,-0.36138204,0.068488517
1,1121.579701,-244.6471485,-3.121892924,-0.031609436,0.633834041,0.100441314
13,109.193698,2.217166859,-0.56670814,0.074174614,-0.289616602,0.021794713
13,2160.666058,-542.9473017,1.474312333,0.086482869,-0.14227219,0.000369895
7,1692.452739,-502.276961,1.455103919,-0.190853941,-0.154277178,0.039347997
1,1558.604782,-361.2920644,-1.92821411,-0.044879253,0.875919695,0.053156219
1,556.8014496,-99.41817798,-0.031274632,-3.58E-05,-0.059426246,-0.00019768
3,1629.457707,-152.2364503,0.142623376,0.18331088,0.069698665,-0.001426601
4,1069.902842,-87.8025589,-0.404329511,0.040525699,0.096423591,-0.002568414
6,572.2909227,-48.21210171,-0.158115454,0.018552287,0.049266219,-0.001143385
5,146.3419773,-13.49142891,0.045456154,-0.01558397,-0.010040077,-0.000733991
19,2154.30403,-474.1091457,1.486776763,0.086240191,-0.154867305,0.000479604
14,1617.813105,-460.6562572,1.212945941,-0.171173077,-0.785313415,0.029243658
1,1493.937486,-356.4750873,-1.69816003,-0.024113461,0.882467378,0.049855186
1,496.1957965,-87.66944894,-0.036635077,-7.08E-05,-0.067582523,-0.000225836
5,1751.810392,-274.4794179,0.54832113,0.142347276,-0.112497874,0.001211984
1,1302.598624,-232.3759719,0.384386635,-0.040188118,-0.170026898,0.001879392
3,430.6894738,-23.18975011,-0.970790127,0.056680088,0.06774111,0.000450688
19,2171.990802,-468.9530818,1.480610113,0.086348335,-0.150128937,0.000426805
7,1635.499878,-455.5001933,1.206779291,-0.171064932,-0.780575047,0.02919086
1,1521.564152,-363.5455123,-1.335593925,-0.03659393,0.864841398,0.050696315
1,531.1875681,-93.82402546,-0.05859922,0.000234599,-0.055589311,-0.000401977
4,1708.072004,-241.2011282,0.980370137,0.007170326,-0.02741723,0.034682189
1,1212.393568,-191.7036116,0.672185539,-0.157037815,-0.089717325,0.034669288
9,341.255512,9.939814894,-0.523162586,-0.078675786,0.151112203,0.03404171
20,1799.503371,-428.1878523,0.764066161,0.156960523,0.16610542,0.011526365
7,1323.77702,-404.6909608,0.880466871,-0.128885094,0.154304785,0.080971519
1,1201.817062,-263.2896103,-2.598015036,0.012077972,1.174343519,0.068861757
4,200.8143291,-5.664383432,-0.738270877,0.070448046,0.251848295,0.010994941
19,1966.888948,-435.3041478,1.383288774,0.087297431,-0.172564658,-0.000314589
14,1430.398024,-421.8512593,1.109457952,-0.170115836,-0.803010769,0.028449465
1,1306.522404,-317.6700895,-1.801648019,-0.02305622,0.864770024,0.049060993
1,308.7807148,-48.86445106,-0.140123066,0.000986405,-0.085279877,-0.001020029
6,1738.191339,-125.1710367,0.223181875,0.16772843,-0.054511554,-0.002902017
5,1313.522644,-85.53291096,0.112161219,-0.028235448,-0.152507376,-0.0040395
11,865.3252766,-45.45465031,0.052303428,-0.014425343,-0.121450967,-0.00251665
4,280.9405712,-13.21967907,-0.621926959,-0.082405759,-0.164958545,0.030026607
5,2115.937408,-75.82030737,-0.028145565,0.201641411,0.200636944,-0.012483834
4,1666.603451,-33.74339312,-0.186572163,0.018888642,0.146995603,-0.011573101
16,1170.964366,12.65912631,-0.337620544,0.037345118,0.149250018,-0.012528959
5,311.0932024,-12.14607461,-1.00171203,-0.027475642,-0.149785234,0.029140932
13,1679.108426,-371.0381822,1.568523755,0.08548075,-0.146580613,0.001090149
7,1210.895107,-330.3678414,1.54931534,-0.191856059,-0.158585601,0.040068252
2,1077.04715,-189.3829448,-1.834002688,-0.045881372,0.871611273,0.053876474
1,318.8899797,-74.87186111,0.465530498,-0.029009371,0.001287917,-0.003233568
3,1886.776361,24.30596731,1.035476378,0.220742757,0.270475876,-0.064067585
16,1327.221496,88.73985875,0.488523491,0.077957576,0.297200802,-0.065209398
23,466.9845381,58.8997482,0.043884784,0.0144515,0.031524759,-0.008707209
16,1809.001074,-68.22958775,0.290108839,0.165058656,0.030274694,-0.000593999
4,951.3973217,-75.09596033,-0.623828086,-0.061733853,-0.391416722,0.040615944
4,453.7954083,-37.39610542,-0.139024999,0.004066788,-0.032514087,-0.003997018
4,2259.354776,-106.35817,0.552439409,0.126225426,-0.02051178,-0.003915261
4,1763.389597,-56.73334679,0.244633575,-0.038018679,-0.089341762,-0.003971539
16,1268.863929,-13.07512452,0.235120884,-0.037878765,-0.056837776,-0.004142305
2,408.4292063,-38.6774512,-0.409878852,-0.102884853,-0.36670363,0.03773564
5,1804.344277,-315.3364111,0.439682574,0.203008676,0.249166746,-0.015523276
6,1355.132508,-273.232965,0.275748079,0.020473282,0.191637723,-0.014855868
7,933.5506304,-236.6595408,0.336281638,0.005784919,0.157770365,-0.015776582
3,758.938988,-56.8124462,-3.328310894,0.083739707,1.288104856,0.026040614
27,108.3996635,-7.115833796,0.294461421,0.044036633,0.167850492,-0.006734824
2,1722.25005,-278.7768198,0.480907094,0.14071154,-0.287959721,-6.48E-05
1,1053.02129,-183.0248829,-0.198838511,0.018351048,-0.265975722,0.001695825
3,173.2112259,4.389652847,-0.996644789,0.054496927,-0.11927764,-0.00048958
3,2052.745046,-195.9523952,0.284387541,0.165115536,0.060099748,-0.00066531
4,1493.441635,-131.2117885,-0.271439453,0.022592888,0.091976329,-0.001975307
3,995.816082,-91.77082526,-0.013095156,0.00028065,0.044785534,-0.000248239
4,433.8531557,-34.25527779,-0.233731929,0.021622847,0.070423781,-0.001187196
11,1745.858445,61.09822369,0.594750589,0.157968015,-0.093938681,0.007428517
23,1162.337782,100.933677,-0.350104197,-0.093848452,-0.231084629,0.039307194
4,286.3555317,-17.88013052,-0.501451284,-0.074885301,-0.463418223,0.040742687
16,1979.853898,-82.19202866,0.204064795,0.180853708,0.075283322,0.000856034
5,1122.250146,-89.05840124,-0.70987213,-0.045938801,-0.346408093,0.042065976
6,659.8562966,-60.2327349,0.113655304,-0.005268746,0.067828018,0.004685741
5,236.9163629,-22.40570565,0.106262499,-0.017660703,-0.008156841,0.001430412
10,2146.859813,-13.64678567,0.174145107,0.229363043,0.357403311,-0.012896239
16,1488.259265,15.29537364,-0.622152091,-0.002343673,0.531663396,0.026300903
6,620.7044004,-31.38206703,-0.649653033,-0.001594195,0.156739951,0.02956686
19,177.6084394,-2.579878701,0.03297912,0.035126771,0.202163113,-0.015631907
4,1869.554685,-145.2498157,0.370365729,0.223272353,0.104767083,-0.038353382
6,1373.589506,-95.6249925,0.062559896,0.059028248,0.035937102,-0.03840966
4,947.5755101,-61.19567963,0.281237052,0.023101421,0.022987797,-0.036693587
11,452.3737924,-13.53664432,0.057577361,0.059119505,0.04732678,-0.038515159
11,1863.020959,51.4985064,0.39126478,0.145591954,0.178334403,0.00012591
16,1279.500296,91.33395967,-0.553590006,-0.106224513,0.041188454,0.032004587
17,425.7635544,41.20594144,-0.802004871,-0.088181303,-0.039603814,0.042276009
16,1924.550951,-88.44341627,0.505528867,0.143824663,-0.010705955,0.000245824
3,1066.947199,-95.30978885,-0.408408058,-0.082967846,-0.432397371,0.041455767
3,517.0040871,-50.92357313,0.090422394,-0.002684659,0.039612271,0.002117667
5,1984.586897,-366.1411943,0.596451261,0.190430163,-0.309283866,-0.027092783
6,1535.25294,-324.06428,0.438024663,0.007677394,-0.362925207,-0.026182051
7,1113.505133,-287.3457707,0.490623698,-0.006442771,-0.398966406,-0.027610885
2,939.2358817,-107.9415065,-3.180785387,0.075404138,0.724441133,0.019749063
11,174.4631148,6.810894892,-0.551662035,0.076209478,-0.171134072,-0.031977653
16,1671.734135,-59.45856061,0.06008038,0.205942324,0.077108337,-0.005195139
3,816.2521195,-61.04743448,-0.874661753,0.002662856,-0.281966139,0.050038927
6,265.9079646,-18.21258188,-0.354117676,0.059257491,0.106403447,-0.003368729
10,2066.928658,137.6569892,0.639802277,0.191505061,-0.253385488,-0.049306065
23,1408.32811,166.5991485,-0.156494922,-0.040201655,-0.079125403,-0.010108923
23,526.0397473,53.13254655,0.17271572,-0.039038795,-0.661138502,-0.013714941
12,2008.126301,-545.8941886,1.346157996,0.087795627,-0.171829352,-0.000617672
7,1484.615255,-512.0397154,1.102746165,-0.169180348,-0.44862298,0.034563018
1,1267.887973,-296.3352662,-2.710841069,-0.006960941,0.872490077,0.038377905
1,254.4210495,-38.86206009,-0.126035781,0.000862079,-0.100556631,-0.000923679
19,2263.976759,-494.0889377,1.457972319,0.086704401,-0.13756392,0.000238208
14,1727.485835,-480.6360493,1.184141498,-0.170708867,-0.768010031,0.029002263
1,1603.610215,-376.4548794,-1.726964473,-0.023649251,0.899770762,0.049613791
1,605.8685257,-107.649241,-0.06543952,0.000393374,-0.050279139,-0.000467232
2,2103.88516,-251.6970242,0.347703185,0.186988147,-0.246471844,0.01007249
2,1434.6564,-155.9450873,-0.33204242,0.064627654,-0.224487845,0.011833103
2,762.7031729,-76.95749527,-0.431519784,0.067033615,-0.204845462,0.010291008
6,89.60688038,0.107735774,-0.444478733,0.067319101,-0.200451898,0.010097143
11,2062.010989,69.98003222,0.885644451,0.214703499,-0.244902855,-0.030954387
22,1478.490326,109.8154855,-0.059210335,-0.037112969,-0.382048803,0.000924291
16,273.6836917,65.00335302,-1.515372707,-0.014925884,-0.300871818,0.014495609
11,2262.80331,120.1375543,0.005741077,0.20635206,0.270351916,-0.006290611
23,1679.282647,159.9730076,-0.939113709,-0.045464408,0.133205968,0.025588066
17,803.3003971,41.15920009,-1.090460796,-0.026501256,-0.099127625,0.027023559
6,124.9843966,-6.317835906,-0.31909769,-0.037112232,-0.099773543,0.032989855
13,1695.956757,-431.7564819,0.708002507,0.179024869,-0.540543942,0.023366344
14,1227.743437,-391.0861411,0.688794093,-0.09831194,-0.552548929,0.062344447
1,1095.426104,-251.7059784,-2.89568864,0.023894204,0.475218743,0.087454438
6,89.93694584,7.64139909,-0.785896676,0.092363786,-0.461454403,0.02288995
5,1987.034616,-300.5870555,0.451028104,0.145285412,0.045595576,-0.000864291
1,1537.700659,-258.5101412,0.292601506,-0.037467356,-0.008045765,4.64E-05
6,665.8215134,-48.33369434,-1.073331259,0.05969156,0.227166331,-0.00166437
3,203.7791819,-21.81090434,0.123273381,-0.046136122,0.013166864,-0.01014828
10,1995.134541,41.12478444,0.90344498,0.007343041,0.002363598,0.030536025
16,1336.533994,70.06694374,0.107147781,-0.224363675,0.176623684,0.069733167
17,468.9791285,23.38950308,0.079646839,-0.223614197,-0.198299762,0.072999125
11,1640.606053,59.05047979,0.473765625,0.156608982,0.278982411,0.005217182
23,1057.929763,98.7758285,-0.385211279,-0.075706856,0.176481636,0.042061852
4,181.980961,-5.789734775,-0.6039274,-0.049502227,-0.066301991,0.061802985
4,2226.173601,-199.2869288,0.154938638,0.182948706,0.045213933,-0.00108037
4,1730.208423,-149.6621056,-0.152867196,0.0187046,-0.023616048,-0.001136648
4,1235.682754,-106.0038833,-0.162379887,0.018844514,0.008887938,-0.001307414
4,740.0541983,-62.50029325,-0.154555008,0.018584898,0.00893741,-0.001078569
5,244.3992791,-18.85403804,-0.154352555,0.018581016,0.008164035,-0.001074965
1,1690.43635,-285.6584475,0.239273752,0.15417009,0.018760675,-0.006258779
2,819.3018092,-66.07478485,-1.303673545,0.068794764,0.203622256,-0.007203771
3,135.3972375,-0.270841165,-0.646493912,0.036390124,0.0974293,-0.00760173
